State Name,Month,Avg_Rainfall_NoFlood,Avg_Rainfall_Flood
Johor,JAN,174.63066666666666,132.31416666666667
Johor,FEB,106.19333333333334,87.485
Johor,MAR,179.76066666666665,147.80083333333334
Johor,APR,200.73999999999998,156.0388888888889
Johor,MAY,163.45366666666666,157.56
Johor,JUN,126.367,140.66472222222222
Johor,JUL,150.828,161.995
Johor,AUG,191.11766666666665,172.88055555555556
Johor,SEP,225.10233333333332,205.98638888888888
Johor,OCT,306.64599999999996,305.6869444444444
Johor,NOV,282.73199999999997,321.3316666666667
Johor,DEC,245.55499999999998,274.83944444444444
Kedah,JAN,78.4396153846154,67.82413793103449
Kedah,FEB,62.139230769230764,45.3996551724138
Kedah,MAR,154.10961538461538,143.38896551724136
Kedah,APR,173.60807692307694,148.6741379310345
Kedah,MAY,206.99961538461537,177.79
Kedah,JUN,185.43269230769232,161.70758620689654
Kedah,JUL,163.91,188.0789655172414
Kedah,AUG,190.77499999999998,217.00827586206896
Kedah,SEP,230.77076923076922,231.7693103448276
Kedah,OCT,290.8326923076923,332.5396551724138
Kedah,NOV,259.20307692307694,312.90620689655174
Kedah,DEC,169.13,218.82655172413794
Kelantan,JAN,190.27193548387098,205.97630434782607
Kelantan,FEB,141.50322580645158,170.95739130434782
Kelantan,MAR,197.92612903225807,226.0228260869565
Kelantan,APR,260.1103225806452,279.4871739130435
Kelantan,MAY,155.03290322580648,145.6478260869565
Kelantan,JUN,144.57387096774193,140.51108695652175
Kelantan,JUL,175.80903225806452,173.62804347826088
Kelantan,AUG,198.21645161290323,173.84760869565216
Kelantan,SEP,219.5509677419355,197.55847826086958
Kelantan,OCT,290.0329032258065,276.60739130434786
Kelantan,NOV,294.5345161290322,304.6713043478261
Kelantan,DEC,240.7390322580645,251.85282608695653
Negeri Sembilan,JAN,180.06809523809522,156.56955555555555
Negeri Sembilan,FEB,163.32857142857142,72.76599999999999
Negeri Sembilan,MAR,185.0595238095238,167.57088888888887
Negeri Sembilan,APR,175.56761904761905,173.662
Negeri Sembilan,MAY,203.28238095238098,183.37066666666666
Negeri Sembilan,JUN,176.7942857142857,157.3357777777778
Negeri Sembilan,JUL,178.36142857142858,193.72066666666666
Negeri Sembilan,AUG,199.3,214.22133333333335
Negeri Sembilan,SEP,209.2904761904762,217.90555555555557
Negeri Sembilan,OCT,257.15666666666664,308.0915555555556
Negeri Sembilan,NOV,289.042380952381,275.4591111111111
Negeri Sembilan,DEC,342.5057142857143,323.1928888888889
Pahang,JAN,191.07651162790697,266.0182608695652
Pahang,FEB,113.37116279069768,122.44
Pahang,MAR,213.50767441860464,188.68869565217392
Pahang,APR,200.51627906976745,228.7586956521739
Pahang,MAY,168.11627906976744,182.70869565217393
Pahang,JUN,144.12534883720932,169.04695652173913
Pahang,JUL,205.97046511627906,190.82521739130434
Pahang,AUG,207.13093023255811,202.2917391304348
Pahang,SEP,179.65976744186045,168.4186956521739
Pahang,OCT,223.1967441860465,244.43956521739128
Pahang,NOV,275.5376744186047,240.10608695652172
Pahang,DEC,249.72418604651162,363.66
Perak,JAN,196.20666666666668,171.464
Perak,FEB,173.64499999999998,130.65900000000002
Perak,MAR,225.125,206.43400000000003
Perak,APR,276.5683333333333,261.196
Perak,MAY,141.33583333333334,157.792
Perak,JUN,133.09416666666667,155.33800000000002
Perak,JUL,191.11749999999998,204.90699999999998
Perak,AUG,198.73833333333334,220.852
Perak,SEP,199.61749999999998,174.553
Perak,OCT,254.40166666666667,249.664
Perak,NOV,291.1408333333333,248.31599999999997
Perak,DEC,244.14833333333334,226.51999999999998
Perlis,JAN,164.133125,171.93411764705883
Perlis,FEB,138.19,133.9264705882353
Perlis,MAR,205.1575,206.12764705882353
Perlis,APR,242.31375,251.60823529411766
Perlis,MAY,148.09187500000002,157.27882352941177
Perlis,JUN,139.324375,150.08235294117648
Perlis,JUL,203.29125,207.69882352941178
Perlis,AUG,216.59187500000002,224.38470588235293
Perlis,SEP,181.099375,177.43
Perlis,OCT,232.114375,248.35882352941172
Perlis,NOV,257.3275,250.16058823529414
Perlis,DEC,241.86,232.36058823529413
Pulau Pinang,JAN,124.50391304347826,141.88809523809525
Pulau Pinang,FEB,65.62304347826087,56.47857142857143
Pulau Pinang,MAR,130.2191304347826,133.17857142857142
Pulau Pinang,APR,109.46739130434783,96.33952380952381
Pulau Pinang,MAY,138.45347826086956,164.17285714285714
Pulau Pinang,JUN,135.26,126.73238095238096
Pulau Pinang,JUL,159.16478260869565,148.76095238095238
Pulau Pinang,AUG,141.0208695652174,149.53857142857143
Pulau Pinang,SEP,186.53347826086957,174.16333333333333
Pulau Pinang,OCT,272.7586956521739,268.8342857142857
Pulau Pinang,NOV,529.7573913043478,439.4795238095238
Pulau Pinang,DEC,440.6847826086956,388.9904761904762
Sabah,JAN,425.98628099173555,452.6343181818182
Sabah,FEB,234.58611570247933,283.19704545454545
Sabah,MAR,234.19256198347108,272.3452272727273
Sabah,APR,253.0609917355372,273.42704545454546
Sabah,MAY,233.70619834710743,191.7259090909091
Sabah,JUN,243.19727272727272,216.00931818181817
Sabah,JUL,222.49347107438015,204.5084090909091
Sabah,AUG,224.19727272727272,217.93704545454545
Sabah,SEP,288.9880991735537,238.7902272727273
Sabah,OCT,310.56677685950416,349.8306818181818
Sabah,NOV,321.45057851239665,339.91477272727275
Sabah,DEC,365.6545454545454,341.18295454545455
Sarawak,JAN,181.96865384615387,284.05080000000004
Sarawak,FEB,111.39884615384615,91.4196
Sarawak,MAR,143.13653846153846,199.9588
Sarawak,APR,127.48365384615384,131.9804
Sarawak,MAY,188.30365384615385,149.75639999999999
Sarawak,JUN,159.38673076923078,139.6396
Sarawak,JUL,178.40961538461536,202.9896
Sarawak,AUG,184.1257692307692,172.108
Sarawak,SEP,214.33961538461537,162.88559999999998
Sarawak,OCT,290.93384615384616,270.6248
Sarawak,NOV,452.5438461538461,516.7704
Sarawak,DEC,537.8265384615385,583.4191999999999
Terengganu,JAN,201.28009708737864,282.0819607843137
Terengganu,FEB,161.4898058252427,173.28235294117647
Terengganu,MAR,176.33281553398058,163.0456862745098
Terengganu,APR,146.45650485436894,158.03058823529412
Terengganu,MAY,197.09747572815536,219.6080392156863
Terengganu,JUN,241.80398058252428,257.1164705882353
Terengganu,JUL,234.48174757281552,246.67254901960783
Terengganu,AUG,222.10990291262135,227.53490196078434
Terengganu,SEP,247.98592233009708,304.71529411764703
Terengganu,OCT,364.7141747572815,331.4660784313726
Terengganu,NOV,287.18776699029127,251.82823529411763
Terengganu,DEC,266.93728155339807,284.46647058823527
